Objective Function Value: 5235.964383 

Assignments: 
vehicleID,vehicleType,activityType,startTime,startNode,endTime,endNode,Description,Status
1.0,Truck,Truck is stationary with no UAVs on board,0.0,0.0,60.0,0.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,60.0,0.0,286.414195,32.0,Travel from node 0 to node 32,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,286.414195,32.0,316.414195,32.0,Dropping off package to Customer 32,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,316.414195,32.0,333.990499,3.0,Travel from node 32 to node 3,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,333.990499,3.0,363.990499,3.0,Dropping off package to Customer 3,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,363.990499,3.0,393.990499,3.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,393.990499,3.0,453.990499,3.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,453.990499,3.0,509.095724,50.0,Travel from node 3 to node 50,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,509.095724,50.0,539.095724,50.0,Dropping off package to Customer 50,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,539.095724,50.0,609.053056,1.0,Travel from node 50 to node 1,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,609.053056,1.0,639.053056,1.0,Dropping off package to Customer 1,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,639.053056,1.0,760.601982,41.0,Travel from node 1 to node 41,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,760.601982,41.0,790.601982,41.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,790.601982,41.0,820.601982,41.0,Dropping off package to Customer 41,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,820.601982,41.0,901.306779,8.0,Travel from node 41 to node 8,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,901.306779,8.0,931.306779,8.0,Dropping off package to Customer 8,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,931.306779,8.0,949.453852,26.0,Travel from node 8 to node 26,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,949.453852,26.0,979.453852,26.0,Dropping off package to Customer 26,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,979.453852,26.0,1039.453852,26.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,1039.453852,26.0,1104.59317,15.0,Travel from node 26 to node 15,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1104.59317,15.0,1134.59317,15.0,Dropping off package to Customer 15,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,1134.59317,15.0,1274.664683,17.0,Travel from node 15 to node 17,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1274.664683,17.0,1304.664683,17.0,Dropping off package to Customer 17,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,1304.664683,17.0,1404.12154,35.0,Travel from node 17 to node 35,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1404.12154,35.0,1434.12154,35.0,Dropping off package to Customer 35,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,1434.12154,35.0,1464.12154,35.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,1464.12154,35.0,1524.12154,35.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,1524.12154,35.0,1525.355612,5.0,Travel from node 35 to node 5,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1525.355612,5.0,1555.355612,5.0,Dropping off package to Customer 5,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,1555.355612,5.0,1577.705898,45.0,Travel from node 5 to node 45,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1577.705898,45.0,1607.705898,45.0,Dropping off package to Customer 45,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,1607.705898,45.0,1642.747043,9.0,Travel from node 45 to node 9,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1642.747043,9.0,1672.747043,9.0,Dropping off package to Customer 9,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,1672.747043,9.0,1702.747043,9.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck travels with UAV(s) on board,1702.747043,9.0,1766.615897,18.0,Travel from node 9 to node 18,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,1766.615897,18.0,1796.615897,18.0,Dropping off package to Customer 18,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,1796.615897,18.0,1856.615897,18.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,1856.615897,18.0,1935.617105,2.0,Travel from node 18 to node 2,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1935.617105,2.0,1965.617105,2.0,Dropping off package to Customer 2,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,1965.617105,2.0,2141.003437,10.0,Travel from node 2 to node 10,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,2141.003437,10.0,2171.003437,10.0,Dropping off package to Customer 10,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,2171.003437,10.0,2201.003437,10.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,2201.003437,10.0,2261.003437,10.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,2261.003437,10.0,2358.515807,34.0,Travel from node 10 to node 34,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,2358.515807,34.0,2388.515807,34.0,Dropping off package to Customer 34,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,2388.515807,34.0,2457.266635,28.0,Travel from node 34 to node 28,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,2457.266635,28.0,2487.266635,28.0,Dropping off package to Customer 28,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,2487.266635,28.0,2517.266635,28.0,Retrieving UAV 2,UAV Recovery
