Objective Function Value: 10339.383595 

Assignments: 
vehicleID,vehicleType,activityType,startTime,startNode,endTime,endNode,Description,Status
1.0,Truck,Truck is stationary with no UAVs on board,0.0,0.0,60.0,0.0,Launching UAV 5,UAV Launch
1.0,Truck,Truck is stationary with no UAVs on board,60.0,0.0,120.0,0.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck is stationary with no UAVs on board,120.0,0.0,180.0,0.0,Launching UAV 4,UAV Launch
1.0,Truck,Truck is stationary with no UAVs on board,180.0,0.0,240.0,0.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,240.0,0.0,888.443335,11.0,Travel from node 0 to node 11,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,888.443335,11.0,918.443335,11.0,Retrieving UAV 5,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,918.443335,11.0,948.443335,11.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,948.443335,11.0,978.443335,11.0,Retrieving UAV 4,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,978.443335,11.0,1008.443335,11.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,1008.443335,11.0,1038.443335,11.0,Dropping off package to Customer 11,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,1038.443335,11.0,1098.443335,11.0,Launching UAV 4,UAV Launch
1.0,Truck,Truck is stationary with no UAVs on board,1098.443335,11.0,1158.443335,11.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck is stationary with no UAVs on board,1158.443335,11.0,1218.443335,11.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck is stationary with no UAVs on board,1218.443335,11.0,1278.443335,11.0,Launching UAV 5,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,1278.443335,11.0,1373.501146,36.0,Travel from node 11 to node 36,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1373.501146,36.0,1403.501146,36.0,Dropping off package to Customer 36,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,1403.501146,36.0,1715.121698,22.0,Travel from node 36 to node 22,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1715.121698,22.0,1745.121698,22.0,Retrieving UAV 4,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,1745.121698,22.0,1775.121698,22.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,1775.121698,22.0,1805.121698,22.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,1805.121698,22.0,1835.121698,22.0,Retrieving UAV 5,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,1835.121698,22.0,1865.121698,22.0,Dropping off package to Customer 22,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,1865.121698,22.0,1925.121698,22.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck is stationary with no UAVs on board,1925.121698,22.0,1985.121698,22.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,1985.121698,22.0,2409.842846,6.0,Travel from node 22 to node 6,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,2409.842846,6.0,2439.842846,6.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,2439.842846,6.0,2469.842846,6.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,2469.842846,6.0,2499.842846,6.0,Dropping off package to Customer 6,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,2499.842846,6.0,2650.567514,35.0,Travel from node 6 to node 35,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,2650.567514,35.0,2680.567514,35.0,Dropping off package to Customer 35,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,2680.567514,35.0,2762.914776,23.0,Travel from node 35 to node 23,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,2762.914776,23.0,2792.914776,23.0,Dropping off package to Customer 23,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,2792.914776,23.0,2852.914776,23.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,2852.914776,23.0,2912.914776,23.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,2912.914776,23.0,3064.048341,48.0,Travel from node 23 to node 48,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,3064.048341,48.0,3094.048341,48.0,Dropping off package to Customer 48,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,3094.048341,48.0,3154.048341,48.0,Launching UAV 4,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,3154.048341,48.0,3379.156867,14.0,Travel from node 48 to node 14,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,3379.156867,14.0,3409.156867,14.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,3409.156867,14.0,3439.156867,14.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,3439.156867,14.0,3469.156867,14.0,Retrieving UAV 4,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,3469.156867,14.0,3499.156867,14.0,Dropping off package to Customer 14,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,3499.156867,14.0,3803.779767,31.0,Travel from node 14 to node 31,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,3803.779767,31.0,3833.779767,31.0,Dropping off package to Customer 31,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,3833.779767,31.0,3859.005845,49.0,Travel from node 31 to node 49,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,3859.005845,49.0,3889.005845,49.0,Dropping off package to Customer 49,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,3889.005845,49.0,4624.844228,39.0,Travel from node 49 to node 39,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,4624.844228,39.0,4654.844228,39.0,Dropping off package to Customer 39,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,4654.844228,39.0,4714.844228,39.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,4714.844228,39.0,4774.844228,39.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,4774.844228,39.0,5052.193393,13.0,Travel from node 39 to node 13,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,5052.193393,13.0,5082.193393,13.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,5082.193393,13.0,5112.193393,13.0,Dropping off package to Customer 13,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,5112.193393,13.0,5171.10268,16.0,Travel from node 13 to node 16,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,5171.10268,16.0,5201.10268,16.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,5201.10268,16.0,5231.10268,16.0,Dropping off package to Customer 16,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,5231.10268,16.0,5291.10268,16.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,5291.10268,16.0,5652.143779,10.0,Travel from node 16 to node 10,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,5652.143779,10.0,5682.143779,10.0,Dropping off package to Customer 10,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,5682.143779,10.0,5712.143779,10.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,5712.143779,10.0,5772.143779,10.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,5772.143779,10.0,5832.143779,10.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,5832.143779,10.0,5892.143779,10.0,Launching UAV 4,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,5892.143779,10.0,6483.433549,15.0,Travel from node 10 to node 15,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,6483.433549,15.0,6513.433549,15.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,6513.433549,15.0,6543.433549,15.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,6543.433549,15.0,6573.433549,15.0,Retrieving UAV 4,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,6573.433549,15.0,6603.433549,15.0,Dropping off package to Customer 15,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,6603.433549,15.0,6767.242834,9.0,Travel from node 15 to node 9,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,6767.242834,9.0,6797.242834,9.0,Dropping off package to Customer 9,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,6797.242834,9.0,7448.53359,2.0,Travel from node 9 to node 2,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,7448.53359,2.0,7478.53359,2.0,Dropping off package to Customer 2,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,7478.53359,2.0,7538.53359,2.0,Launching UAV 4,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,7538.53359,2.0,7598.53359,2.0,Launching UAV 5,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,7598.53359,2.0,7658.53359,2.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,7658.53359,2.0,7718.53359,2.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,7718.53359,2.0,7855.132001,46.0,Travel from node 2 to node 46,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,7855.132001,46.0,7885.132001,46.0,Dropping off package to Customer 46,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,7885.132001,46.0,7972.777457,7.0,Travel from node 46 to node 7,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,7972.777457,7.0,8002.777457,7.0,Retrieving UAV 4,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,8002.777457,7.0,8032.777457,7.0,Retrieving UAV 5,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,8032.777457,7.0,8062.777457,7.0,Dropping off package to Customer 7,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,8062.777457,7.0,8092.777457,7.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,8092.777457,7.0,8118.74666613,7.0,Idle for  26 seconds,Idle
1.0,Truck,Truck is stationary with no UAVs on board,8118.74666613,7.0,8148.74666613,7.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck travels with UAV(s) on board,8148.74666613,7.0,9125.47671913,32.0,Travel from node 7 to node 32,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,9125.47671913,32.0,9155.47671913,32.0,Dropping off package to Customer 32,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,9155.47671913,32.0,9215.47671913,32.0,Launching UAV 5,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,9215.47671913,32.0,9275.47671913,32.0,Launching UAV 4,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,9275.47671913,32.0,9335.47671913,32.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck is stationary with UAV(s) on board,9335.47671913,32.0,9395.47671913,32.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,9395.47671913,32.0,9615.57692913,47.0,Travel from node 32 to node 47,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,9615.57692913,47.0,9645.57692913,47.0,Retrieving UAV 5,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,9645.57692913,47.0,9675.57692913,47.0,Dropping off package to Customer 47,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,9675.57692913,47.0,9735.57692913,47.0,Launching UAV 5,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,9735.57692913,47.0,9887.80977613,18.0,Travel from node 47 to node 18,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,9887.80977613,18.0,9917.80977613,18.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,9917.80977613,18.0,9947.80977613,18.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,9947.80977613,18.0,9977.80977613,18.0,Retrieving UAV 4,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,9977.80977613,18.0,10007.8097761,18.0,Dropping off package to Customer 18,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,10007.8097761,18.0,10309.3835951,51.0,Travel from node 18 to node 51,Traveling
