% from location i, to location j, time [sec], distance [meters] 
0, 0, 0.000000, 0.000000 
0, 1, 1538.596283, 31125.525579 
0, 2, 1017.538989, 19046.976600 
0, 3, 1272.779953, 23849.354409 
0, 4, 1423.330063, 29246.512176 
0, 5, 1771.857878, 41422.176179 
0, 6, 1182.707798, 28076.651378 
0, 7, 1422.546100, 30183.291891 
0, 8, 1297.172243, 28563.387302 
0, 9, 1098.774863, 21711.221278 
0, 10, 1164.663772, 20663.797795 
0, 11, 575.833652, 7497.258305 
0, 12, 1601.868731, 36911.626693 
0, 13, 1481.727909, 30426.216407 
0, 14, 1293.182385, 22739.374498 
0, 15, 852.829390, 14665.641181 
0, 16, 1278.636428, 28387.568798 
0, 17, 1352.119986, 26563.276342 
0, 18, 1615.757235, 31826.807408 
0, 19, 1676.917136, 38875.270362 
0, 20, 1293.053403, 28518.221603 
0, 21, 502.173829, 10268.601323 
0, 22, 959.243201, 19673.883989 
0, 23, 230.656026, 3008.456906 
0, 24, 1348.408319, 24553.769694 
0, 25, 1291.189395, 28712.137313 
0, 26, 1524.120749, 34056.810812 
0, 27, 855.749408, 19558.359528 
0, 28, 1527.300915, 36796.535520 
0, 29, 532.790077, 10106.320825 
0, 30, 456.745202, 7278.455903 
0, 31, 1439.680467, 31985.093742 
0, 32, 1419.387974, 24635.407735 
0, 33, 1332.520557, 29244.103417 
0, 34, 832.054283, 16093.674385 
0, 35, 496.185303, 7849.404163 
0, 36, 789.601669, 13846.410322 
0, 37, 1398.215109, 29334.326430 
0, 38, 1612.797224, 36324.701448 
0, 39, 1802.020670, 41759.623283 
0, 40, 974.291335, 16237.784600 
0, 41, 1278.032426, 23386.499242 
0, 42, 680.817059, 12426.452823 
0, 43, 702.088089, 13270.772082 
0, 44, 1380.679260, 27464.562823 
0, 45, 1706.774909, 40592.491889 
0, 46, 908.872940, 20242.780180 
0, 47, 1182.410543, 24892.397945 
0, 48, 1517.864513, 28165.068590 
0, 49, 1689.024595, 40364.591494 
0, 50, 974.722654, 16244.541094 
1, 0, 1512.594501, 30643.147679 
1, 1, 0.000000, 0.000000 
1, 2, 698.433760, 13370.187958 
1, 3, 1828.780951, 34131.893672 
1, 4, 411.415659, 4807.122766 
1, 5, 1482.205693, 29503.887559 
1, 6, 1233.252342, 22679.154449 
1, 7, 1518.690434, 30890.143628 
1, 8, 1137.940879, 23878.760971 
1, 9, 602.664075, 11022.113971 
1, 10, 643.090219, 9290.853787 
1, 11, 1578.151345, 28578.908082 
1, 12, 1312.216546, 24993.338073 
1, 13, 71.592869, 702.999593 
1, 14, 740.806972, 10238.784871 
1, 15, 841.179658, 17224.814364 
1, 16, 1374.780762, 29094.420535 
1, 17, 1183.349423, 23428.175121 
1, 18, 520.224914, 6429.022088 
1, 19, 1328.824409, 22018.793032 
1, 20, 1133.564015, 23830.240959 
1, 21, 1235.982896, 28152.784271 
1, 22, 1823.859426, 36827.211433 
1, 23, 1465.655058, 29139.556372 
1, 24, 333.846552, 4736.255057 
1, 25, 1387.333729, 29418.989050 
1, 26, 1121.350492, 19413.339125 
1, 27, 1497.049127, 31805.157408 
1, 28, 1367.882773, 25078.715222 
1, 29, 1165.272305, 22577.252439 
1, 30, 1334.566186, 29331.366173 
1, 31, 1340.692082, 23682.265265 
1, 32, 667.568795, 8805.356749 
1, 33, 1428.664891, 29950.955154 
1, 34, 1103.185517, 22523.396068 
1, 35, 1310.409554, 29112.282779 
1, 36, 876.994140, 17693.132136 
1, 37, 208.465912, 2604.068128 
1, 38, 1323.145039, 24406.412828 
1, 39, 1512.368485, 29841.334663 
1, 40, 841.099101, 15899.831825 
1, 41, 424.541526, 6141.747290 
1, 42, 957.607486, 18732.953368 
1, 43, 1461.142838, 31771.920571 
1, 44, 500.148445, 6415.421130 
1, 45, 1547.356767, 28874.671590 
1, 46, 1550.172659, 32489.578059 
1, 47, 460.310361, 7033.332086 
1, 48, 1872.872923, 35483.885357 
1, 49, 1529.606453, 28646.771195 
1, 50, 850.229920, 16021.847942 
2, 0, 968.574447, 18648.101585 
2, 1, 694.005371, 13274.330427 
2, 2, 0.000000, 0.000000 
2, 3, 1238.441400, 21029.698560 
2, 4, 578.739152, 11395.317025 
2, 5, 1273.839213, 26175.654151 
2, 6, 782.114540, 15514.361659 
2, 7, 928.350883, 17787.948515 
2, 8, 547.601328, 10776.565859 
2, 9, 240.134869, 3110.351210 
2, 10, 385.371722, 5080.553344 
2, 11, 1034.131291, 16583.861988 
2, 12, 1103.850066, 21665.104665 
2, 13, 637.136997, 12575.021255 
2, 14, 513.890336, 7156.130047 
2, 15, 297.159604, 5229.768270 
2, 16, 784.441211, 15992.225422 
2, 17, 593.009872, 10325.980009 
2, 18, 771.166324, 13975.612256 
2, 19, 1120.457929, 18690.559624 
2, 20, 543.224464, 10728.045846 
2, 21, 691.962842, 16157.738178 
2, 22, 1233.519875, 23725.016320 
2, 23, 921.635004, 17144.510279 
2, 24, 531.470723, 9574.979791 
2, 25, 796.994178, 16316.793937 
2, 26, 912.984012, 16085.105716 
2, 27, 906.709576, 18702.962295 
2, 28, 1126.707657, 24234.245802 
2, 29, 621.252251, 10582.206346 
2, 30, 790.546132, 17336.320080 
2, 31, 948.017925, 17871.914934 
2, 32, 640.095925, 9052.163284 
2, 33, 838.325340, 16848.760042 
2, 34, 559.165463, 10528.349975 
2, 35, 766.389500, 17117.236686 
2, 36, 332.974085, 5698.086043 
2, 37, 553.624198, 11483.131278 
2, 38, 1114.778559, 21078.179419 
2, 39, 1304.002005, 26513.101255 
2, 40, 211.506386, 2700.521169 
2, 41, 463.625818, 6792.600966 
2, 42, 413.587432, 6737.907275 
2, 43, 917.122784, 19776.874478 
2, 44, 536.088348, 9613.367671 
2, 45, 1306.181651, 28030.202170 
2, 46, 959.833108, 19387.382946 
