problemName,vehicleFileID,UAVSpeedType,numUAVs,numTrucks
20191118T160426829317,104,variable,1,-1

Objective Function Value: 11697.508514 

Assignments: 
vehicleID,vehicleType,activityType,startTime,startNode,endTime,endNode,Description,Status
1.0,Truck,Truck is stationary with no UAVs on board,0.0,0.0,60.0,0.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,60.0,0.0,422.013425,2.0,Travel from node 0 to node 2,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,422.013425,2.0,452.013425,2.0,Dropping off package to Customer 2,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,452.013425,2.0,595.43165,38.0,Travel from node 2 to node 38,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,595.43165,38.0,625.43165,38.0,Dropping off package to Customer 38,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,625.43165,38.0,868.255173,12.0,Travel from node 38 to node 12,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,868.255173,12.0,898.255173,12.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,898.255173,12.0,928.255173,12.0,Dropping off package to Customer 12,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,928.255173,12.0,988.255173,12.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,988.255173,12.0,1284.608865,14.0,Travel from node 12 to node 14,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1284.608865,14.0,1314.608865,14.0,Dropping off package to Customer 14,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,1314.608865,14.0,1376.055589,20.0,Travel from node 14 to node 20,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1376.055589,20.0,1406.055589,20.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,1406.055589,20.0,1436.055589,20.0,Dropping off package to Customer 20,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,1436.055589,20.0,1496.055589,20.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,1496.055589,20.0,1688.690264,17.0,Travel from node 20 to node 17,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1688.690264,17.0,1718.690264,17.0,Dropping off package to Customer 17,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,1718.690264,17.0,1856.31792,45.0,Travel from node 17 to node 45,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,1856.31792,45.0,1886.31792,45.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,1886.31792,45.0,1916.31792,45.0,Dropping off package to Customer 45,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,1916.31792,45.0,1976.31792,45.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,1976.31792,45.0,2099.516592,23.0,Travel from node 45 to node 23,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,2099.516592,23.0,2129.516592,23.0,Dropping off package to Customer 23,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,2129.516592,23.0,2507.143916,36.0,Travel from node 23 to node 36,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,2507.143916,36.0,2537.143916,36.0,Dropping off package to Customer 36,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,2537.143916,36.0,2567.143916,36.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,2567.143916,36.0,2627.143916,36.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,2627.143916,36.0,2942.450991,33.0,Travel from node 36 to node 33,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,2942.450991,33.0,2972.450991,33.0,Dropping off package to Customer 33,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,2972.450991,33.0,3002.450991,33.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,3002.450991,33.0,3062.450991,33.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,3062.450991,33.0,3591.221326,24.0,Travel from node 33 to node 24,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,3591.221326,24.0,3621.221326,24.0,Dropping off package to Customer 24,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,3621.221326,24.0,3622.2120692,24.0,Idle for   1 seconds,Idle
1.0,Truck,Truck is stationary with no UAVs on board,3622.2120692,24.0,3652.2120692,24.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck travels with UAV(s) on board,3652.2120692,24.0,4175.3907922,10.0,Travel from node 24 to node 10,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,4175.3907922,10.0,4205.3907922,10.0,Dropping off package to Customer 10,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,4205.3907922,10.0,4265.3907922,10.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,4265.3907922,10.0,4632.8885512,11.0,Travel from node 10 to node 11,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,4632.8885512,11.0,4662.8885512,11.0,Dropping off package to Customer 11,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,4662.8885512,11.0,4749.801684,11.0,Idle for  87 seconds,Idle
1.0,Truck,Truck is stationary with no UAVs on board,4749.801684,11.0,4779.801684,11.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,4779.801684,11.0,4839.801684,11.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,4839.801684,11.0,5074.963097,15.0,Travel from node 11 to node 15,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,5074.963097,15.0,5104.963097,15.0,Dropping off package to Customer 15,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,5104.963097,15.0,5134.963097,15.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,5134.963097,15.0,5194.963097,15.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,5194.963097,15.0,5597.763999,6.0,Travel from node 15 to node 6,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,5597.763999,6.0,5627.763999,6.0,Dropping off package to Customer 6,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,5627.763999,6.0,5898.397389,50.0,Travel from node 6 to node 50,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,5898.397389,50.0,5928.397389,50.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,5928.397389,50.0,5958.397389,50.0,Dropping off package to Customer 50,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,5958.397389,50.0,6018.397389,50.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,6018.397389,50.0,6510.753987,42.0,Travel from node 50 to node 42,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,6510.753987,42.0,6540.753987,42.0,Dropping off package to Customer 42,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,6540.753987,42.0,6541.84129293,42.0,Idle for   1 seconds,Idle
1.0,Truck,Truck is stationary with no UAVs on board,6541.84129293,42.0,6571.84129293,42.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,6571.84129293,42.0,6631.84129293,42.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,6631.84129293,42.0,6809.23880393,40.0,Travel from node 42 to node 40,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,6809.23880393,40.0,6839.23880393,40.0,Dropping off package to Customer 40,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,6839.23880393,40.0,6869.23880393,40.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,6869.23880393,40.0,6929.23880393,40.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,6929.23880393,40.0,7120.06980993,29.0,Travel from node 40 to node 29,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,7120.06980993,29.0,7150.06980993,29.0,Dropping off package to Customer 29,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,7150.06980993,29.0,7558.37540393,13.0,Travel from node 29 to node 13,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,7558.37540393,13.0,7588.37540393,13.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,7588.37540393,13.0,7618.37540393,13.0,Dropping off package to Customer 13,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,7618.37540393,13.0,8280.29644693,25.0,Travel from node 13 to node 25,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,8280.29644693,25.0,8310.29644693,25.0,Dropping off package to Customer 25,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,8310.29644693,25.0,8370.29644693,25.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,8370.29644693,25.0,8533.10730593,39.0,Travel from node 25 to node 39,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,8533.10730593,39.0,8563.10730593,39.0,Dropping off package to Customer 39,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,8563.10730593,39.0,8589.13311793,4.0,Travel from node 39 to node 4,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,8589.13311793,4.0,8619.13311793,4.0,Dropping off package to Customer 4,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,8619.13311793,4.0,8649.13311793,4.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,8649.13311793,4.0,8709.13311793,4.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,8709.13311793,4.0,8917.83980693,21.0,Travel from node 4 to node 21,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,8917.83980693,21.0,8947.83980693,21.0,Dropping off package to Customer 21,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,8947.83980693,21.0,9130.25540593,37.0,Travel from node 21 to node 37,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,9130.25540593,37.0,9160.25540593,37.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,9160.25540593,37.0,9190.25540593,37.0,Dropping off package to Customer 37,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,9190.25540593,37.0,9621.20228893,26.0,Travel from node 37 to node 26,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,9621.20228893,26.0,9651.20228893,26.0,Dropping off package to Customer 26,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,9651.20228893,26.0,10067.0211959,1.0,Travel from node 26 to node 1,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,10067.0211959,1.0,10097.0211959,1.0,Dropping off package to Customer 1,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,10097.0211959,1.0,10157.0211959,1.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,10157.0211959,1.0,10430.8794569,48.0,Travel from node 1 to node 48,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,10430.8794569,48.0,10460.8794569,48.0,Dropping off package to Customer 48,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,10460.8794569,48.0,10562.2537719,8.0,Travel from node 48 to node 8,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,10562.2537719,8.0,10592.2537719,8.0,Dropping off package to Customer 8,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,10592.2537719,8.0,10622.2537719,8.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,10622.2537719,8.0,10682.2537719,8.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,10682.2537719,8.0,10755.5071059,35.0,Travel from node 8 to node 35,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,10755.5071059,35.0,10785.5071059,35.0,Dropping off package to Customer 35,Making Delivery
1.0,Truck,Truck travels with no UAVs on board,10785.5071059,35.0,10905.8253259,43.0,Travel from node 35 to node 43,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,10905.8253259,43.0,10935.8253259,43.0,Dropping off package to Customer 43,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,10935.8253259,43.0,10965.8253259,43.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,10965.8253259,43.0,11025.8253259,43.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,11025.8253259,43.0,11247.3212139,28.0,Travel from node 43 to node 28,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,11247.3212139,28.0,11277.3212139,28.0,Dropping off package to Customer 28,Making Delivery
1.0,Truck,Truck is stationary with no UAVs on board,11277.3212139,28.0,11307.3212139,28.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,11307.3212139,28.0,11367.3212139,28.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with no UAVs on board,11367.3212139,28.0,11667.5085139,51.0,Travel from node 28 to node 51,Traveling
1.0,Truck,Truck is stationary with no UAVs on board,11667.5085139,51.0,11697.5085139,51.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with no UAVs on board,11697.5085139,51.0,-1.0,51.0,At the Depot.  Total Time = 3:14:57,Vehicle Tasks Complete
2.0,UAV,UAV is stationary with a parcel,0.0,0.0,60.0,0.0,Prepare to launch from truck,UAV Launch
2.0,UAV,UAV taking off or landing with a parcel,60.0,0.0,65.5,0.0,Takeoff from Depot,Traveling
2.0,UAV,UAV travels with parcel,65.5,0.0,249.651734059,18.0,Fly to UAV customer 18,Traveling
2.0,UAV,UAV taking off or landing with a parcel,249.651734059,18.0,259.651734059,18.0,Land at UAV customer 18,Traveling
2.0,UAV,UAV is stationary with a parcel,259.651734059,18.0,319.651734059,18.0,Serving UAV customer 18,Making Delivery
2.0,UAV,UAV taking off or landing with no parcels,319.651734059,18.0,325.151734059,18.0,Takeoff from UAV customer 18,Traveling
2.0,UAV,UAV travels empty,325.151734059,18.0,688.755950897,12.0,Fly to truck at customer 12,Traveling
2.0,UAV,UAV is stationary without a parcel,688.755950897,12.0,858.255173,12.0,Idle above rendezvous location (customer 12),Idle
2.0,UAV,UAV taking off or landing with no parcels,858.255173,12.0,868.255173,12.0,Land at truck rendezvous location (customer 12),Traveling
2.0,UAV,UAV is stationary without a parcel,868.255173,12.0,898.255173,12.0,Recovered by truck at customer 12,UAV Recovery
2.0,UAV,UAV is stationary with a parcel,928.255173,12.0,988.255173,12.0,Prepare to launch from truck,UAV Launch
2.0,UAV,UAV taking off or landing with a parcel,988.255173,12.0,993.755173,12.0,Takeoff from truck at Customer 12,Traveling
2.0,UAV,UAV travels with parcel,993.755173,12.0,1181.9558153,27.0,Fly to UAV customer 27,Traveling
2.0,UAV,UAV taking off or landing with a parcel,1181.9558153,27.0,1191.9558153,27.0,Land at UAV customer 27,Traveling
2.0,UAV,UAV is stationary with a parcel,1191.9558153,27.0,1251.9558153,27.0,Serving UAV customer 27,Making Delivery
2.0,UAV,UAV taking off or landing with no parcels,1251.9558153,27.0,1257.4558153,27.0,Takeoff from UAV customer 27,Traveling
2.0,UAV,UAV travels empty,1257.4558153,27.0,1345.06791529,20.0,Fly to truck at customer 20,Traveling
2.0,UAV,UAV is stationary without a parcel,1345.06791529,20.0,1366.055589,20.0,Idle above rendezvous location (customer 20),Idle
2.0,UAV,UAV taking off or landing with no parcels,1366.055589,20.0,1376.055589,20.0,Land at truck rendezvous location (customer 20),Traveling
2.0,UAV,UAV is stationary without a parcel,1376.055589,20.0,1406.055589,20.0,Recovered by truck at customer 20,UAV Recovery
2.0,UAV,UAV is stationary with a parcel,1436.055589,20.0,1496.055589,20.0,Prepare to launch from truck,UAV Launch
2.0,UAV,UAV taking off or landing with a parcel,1496.055589,20.0,1501.555589,20.0,Takeoff from truck at Customer 20,Traveling
2.0,UAV,UAV travels with parcel,1501.555589,20.0,1632.20176214,16.0,Fly to UAV customer 16,Traveling
2.0,UAV,UAV taking off or landing with a parcel,1632.20176214,16.0,1642.20176214,16.0,Land at UAV customer 16,Traveling
2.0,UAV,UAV is stationary with a parcel,1642.20176214,16.0,1702.20176214,16.0,Serving UAV customer 16,Making Delivery
2.0,UAV,UAV taking off or landing with no parcels,1702.20176214,16.0,1707.70176214,16.0,Takeoff from UAV customer 16,Traveling
2.0,UAV,UAV travels empty,1707.70176214,16.0,1846.05420996,45.0,Fly to truck at customer 45,Traveling
2.0,UAV,UAV is stationary without a parcel,1846.05420996,45.0,1846.31792,45.0,Idle above rendezvous location (customer 45),Idle
2.0,UAV,UAV taking off or landing with no parcels,1846.31792,45.0,1856.31792,45.0,Land at truck rendezvous location (customer 45),Traveling
2.0,UAV,UAV is stationary without a parcel,1856.31792,45.0,1886.31792,45.0,Recovered by truck at customer 45,UAV Recovery
