problemName,vehicleFileID,UAVSpeedType,numUAVs,numTrucks
20191230T145938067895,102,maximum,4,-1

Objective Function Value: 6626.031867 

Assignments: 
vehicleID,vehicleType,activityType,startTime,startNode,endTime,endNode,Description,Status
1.0,Truck,Truck is stationary with UAV(s) on board,0.0,0.0,60.0,0.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,60.0,0.0,935.832048,5.0,Travel from node 0 to node 5,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,935.832048,5.0,965.832048,5.0,Dropping off package to Customer 5,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,965.832048,5.0,1838.132465,6.0,Travel from node 5 to node 6,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,1838.132465,6.0,1868.132465,6.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,1868.132465,6.0,1898.132465,6.0,Dropping off package to Customer 6,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,1898.132465,6.0,2723.436729,4.0,Travel from node 6 to node 4,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,2723.436729,4.0,2753.436729,4.0,Dropping off package to Customer 4,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,2753.436729,4.0,3454.150398,8.0,Travel from node 4 to node 8,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,3454.150398,8.0,3484.150398,8.0,Dropping off package to Customer 8,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,3484.150398,8.0,3544.150398,8.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,3544.150398,8.0,4690.991702,3.0,Travel from node 8 to node 3,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,4690.991702,3.0,4720.991702,3.0,Dropping off package to Customer 3,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,4720.991702,3.0,4780.991702,3.0,Launching UAV 3,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,4780.991702,3.0,4965.837578,10.0,Travel from node 3 to node 10,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,4965.837578,10.0,4995.837578,10.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,4995.837578,10.0,5025.837578,10.0,Dropping off package to Customer 10,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,5025.837578,10.0,5410.797073,1.0,Travel from node 10 to node 1,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,5410.797073,1.0,5440.797073,1.0,Dropping off package to Customer 1,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,5440.797073,1.0,5472.77605415,1.0,Idle for  32 seconds,Idle
1.0,Truck,Truck is stationary with UAV(s) on board,5472.77605415,1.0,5502.77605415,1.0,Retrieving UAV 3,UAV Recovery
1.0,Truck,Truck travels with UAV(s) on board,5502.77605415,1.0,6626.03186715,11.0,Travel from node 1 to node 11,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,6626.03186715,11.0,-1.0,11.0,At the Depot.  Total Time = 1:50:26,Vehicle Tasks Complete
2.0,UAV,UAV is stationary with a parcel,0.0,0.0,60.0,0.0,Prepare to launch from truck,UAV Launch
2.0,UAV,UAV taking off or landing with a parcel,60.0,0.0,65.5,0.0,Takeoff from Depot,Traveling
2.0,UAV,UAV travels with parcel,65.5,0.0,228.153389397,7.0,Fly to UAV customer 7,Traveling
2.0,UAV,UAV taking off or landing with a parcel,228.153389397,7.0,238.153389397,7.0,Land at UAV customer 7,Traveling
2.0,UAV,UAV is stationary with a parcel,238.153389397,7.0,298.153389397,7.0,Serving UAV customer 7,Making Delivery
2.0,UAV,UAV taking off or landing with no parcels,298.153389397,7.0,303.653389397,7.0,Takeoff from UAV customer 7,Traveling
2.0,UAV,UAV travels empty,303.653389397,7.0,785.46417231,6.0,Fly to truck at customer 6,Traveling
2.0,UAV,UAV is stationary without a parcel,785.46417231,6.0,1828.132465,6.0,Idle above rendezvous location (customer 6),Idle
2.0,UAV,UAV taking off or landing with no parcels,1828.132465,6.0,1838.132465,6.0,Land at truck rendezvous location (customer 6),Traveling
2.0,UAV,UAV is stationary without a parcel,1838.132465,6.0,1868.132465,6.0,Recovered by truck at customer 6,UAV Recovery
2.0,UAV,UAV is stationary with a parcel,3484.150398,8.0,3544.150398,8.0,Prepare to launch from truck,UAV Launch
2.0,UAV,UAV taking off or landing with a parcel,3544.150398,8.0,3549.650398,8.0,Takeoff from truck at Customer 8,Traveling
2.0,UAV,UAV travels with parcel,3549.650398,8.0,3803.65361627,2.0,Fly to UAV customer 2,Traveling
2.0,UAV,UAV taking off or landing with a parcel,3803.65361627,2.0,3813.65361627,2.0,Land at UAV customer 2,Traveling
2.0,UAV,UAV is stationary with a parcel,3813.65361627,2.0,3873.65361627,2.0,Serving UAV customer 2,Making Delivery
2.0,UAV,UAV taking off or landing with no parcels,3873.65361627,2.0,3879.15361627,2.0,Takeoff from UAV customer 2,Traveling
2.0,UAV,UAV travels empty,3879.15361627,2.0,4647.84044941,10.0,Fly to truck at customer 10,Traveling
2.0,UAV,UAV is stationary without a parcel,4647.84044941,10.0,4955.837578,10.0,Idle above rendezvous location (customer 10),Idle
2.0,UAV,UAV taking off or landing with no parcels,4955.837578,10.0,4965.837578,10.0,Land at truck rendezvous location (customer 10),Traveling
2.0,UAV,UAV is stationary without a parcel,4965.837578,10.0,4995.837578,10.0,Recovered by truck at customer 10,UAV Recovery
3.0,UAV,UAV is stationary with a parcel,4720.991702,3.0,4780.991702,3.0,Prepare to launch from truck,UAV Launch
3.0,UAV,UAV taking off or landing with a parcel,4780.991702,3.0,4786.491702,3.0,Takeoff from truck at Customer 3,Traveling
3.0,UAV,UAV travels with parcel,4786.491702,3.0,5068.69250043,9.0,Fly to UAV customer 9,Traveling
3.0,UAV,UAV taking off or landing with a parcel,5068.69250043,9.0,5078.69250043,9.0,Land at UAV customer 9,Traveling
3.0,UAV,UAV is stationary with a parcel,5078.69250043,9.0,5138.69250043,9.0,Serving UAV customer 9,Making Delivery
3.0,UAV,UAV taking off or landing with no parcels,5138.69250043,9.0,5144.19250043,9.0,Takeoff from UAV customer 9,Traveling
3.0,UAV,UAV travels empty,5144.19250043,9.0,5462.77605415,1.0,Fly to truck at customer 1,Traveling
3.0,UAV,UAV taking off or landing with no parcels,5462.77605415,1.0,5472.77605415,1.0,Land at truck rendezvous location (customer 1),Traveling
3.0,UAV,UAV is stationary without a parcel,5472.77605415,1.0,5502.77605415,1.0,Recovered by truck at customer 1,UAV Recovery
