problemName,vehicleFileID,UAVSpeedType,numUAVs,numTrucks
20191230T150403491108,101,maximum-range,4,-1

Objective Function Value: 10293.400634 

Assignments: 
vehicleID,vehicleType,activityType,startTime,startNode,endTime,endNode,Description,Status
1.0,Truck,Truck travels with UAV(s) on board,0.0,0.0,87.380907,18.0,Travel from node 0 to node 18,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,87.380907,18.0,117.380907,18.0,Dropping off package to Customer 18,Making Delivery
1.0,Truck,Truck is stationary with UAV(s) on board,117.380907,18.0,177.380907,18.0,Launching UAV 2,UAV Launch
1.0,Truck,Truck travels with UAV(s) on board,177.380907,18.0,852.176496,13.0,Travel from node 18 to node 13,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,852.176496,13.0,882.176496,13.0,Dropping off package to Customer 13,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,882.176496,13.0,1092.588673,9.0,Travel from node 13 to node 9,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,1092.588673,9.0,1122.588673,9.0,Dropping off package to Customer 9,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,1122.588673,9.0,2033.414279,12.0,Travel from node 9 to node 12,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,2033.414279,12.0,2063.414279,12.0,Dropping off package to Customer 12,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,2063.414279,12.0,2182.454752,24.0,Travel from node 12 to node 24,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,2182.454752,24.0,2212.454752,24.0,Retrieving UAV 2,UAV Recovery
1.0,Truck,Truck is stationary with UAV(s) on board,2212.454752,24.0,2242.454752,24.0,Dropping off package to Customer 24,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,2242.454752,24.0,2584.223171,21.0,Travel from node 24 to node 21,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,2584.223171,21.0,2614.223171,21.0,Dropping off package to Customer 21,Making Delivery
1.0,Truck,Truck travels with UAV(s) on board,2614.223171,21.0,2895.361677,23.0,Travel from node 21 to node 23,Traveling
1.0,Truck,Truck is stationary with UAV(s) on board,2895.361677,23.0,2925.361677,23.0,Dropping off package to Customer 23,Making Delivery
