% nodeID, nodeType, latDeg, lonDeg, altMeters, parcelWtLbs 
0, 0, 47.509714, -122.132001, 0.000000, -1.000000 
1, 1, 47.576227, -122.314688, 0.000000, 5.000000 
2, 1, 47.514560, -122.273924, 0.000000, 1.000000 
3, 1, 47.539798, -122.274278, 0.000000, 3.000000 
4, 1, 47.686723, -122.324873, 0.000000, 2.000000 
5, 1, 47.705046, -122.328580, 0.000000, 100.000000 
6, 1, 47.700985, -122.387575, 0.000000, 1.000000 
7, 1, 47.539643, -122.378460, 0.000000, 5.000000 
8, 1, 47.527429, -122.193054, 0.000000, 1.000000 
9, 1, 47.686263, -122.403528, 0.000000, 100.000000 
10, 1, 47.583662, -122.306546, 0.000000, 100.000000 
11, 1, 47.538896, -122.292517, 0.000000, 2.000000 
12, 1, 47.637134, -122.403730, 0.000000, 100.000000 
13, 1, 47.489054, -122.360066, 0.000000, 1.000000 
14, 1, 47.481543, -122.356095, 0.000000, 3.000000 
15, 1, 47.482124, -122.349224, 0.000000, 4.000000 
16, 1, 47.640771, -122.386227, 0.000000, 4.000000 
17, 1, 47.662231, -122.314147, 0.000000, 100.000000 
18, 1, 47.579346, -122.285971, 0.000000, 1.000000 
19, 1, 47.480500, -122.215991, 0.000000, 5.000000 
20, 1, 47.612235, -122.192915, 0.000000, 1.000000 
21, 1, 47.639398, -122.286658, 0.000000, 4.000000 
22, 1, 47.699590, -122.273354, 0.000000, 3.000000 
23, 1, 47.646115, -122.136768, 0.000000, 1.000000 
24, 1, 47.522486, -122.376696, 0.000000, 1.000000 
25, 1, 47.623392, -122.290173, 0.000000, 3.000000 
